date,Asset_A_Return,Asset_B_Return,Asset_C_Return,Asset_D_Return,Volume_A,Volume_B,Volume_C,Volume_D,Asset_A_cumulative_return,Asset_B_cumulative_return,Asset_C_cumulative_return,Asset_D_cumulative_return
2024-01-24,-0.008,-0.0074,-0.0077,-0.0169,4889988,3019611,2144127,3712827,-0.04904704448792585,-0.06408250531976778,-0.06041858141436052,-0.05242264389014839
2024-01-25,0.0034,0.0038,0.0023,0.0013,5290790,3001534,1901849,4092420,-0.0458138044391847,-0.060526018839982876,-0.05825754415161355,-0.05119079332720555
2024-01-26,-0.016,-0.0134,-0.0121,-0.018,5049764,2909967,2006980,3922937,-0.061080783568157715,-0.0731149701875271,-0.06965262786737902,-0.0682693590473159
2024-01-27,-0.0018,0.0015,0.0124,0.0044,5028379,3099319,2158601,3752436,-0.0627708381577351,-0.07172464264280831,-0.05811632045293458,-0.06416974422712418
2024-01-28,0.0029,0.0015,-0.0115,-0.002,5533258,2707186,1984821,4117663,-0.06005287358839262,-0.07033222960677243,-0.06894798276772574,-0.06604140473866993
2024-01-29,0.0007,0.0168,0.003,0.0078,5070247,2906595,1979187,3901399,-0.05939491059990454,-0.054713811064166284,-0.06615482671602901,-0.058756527695631555
2024-01-30,-0.0004,-0.008,0.0056,0.0044,4852658,3127440,2035701,3861418,-0.05977115263566457,-0.062276100575652915,-0.06092529374563871,-0.054615056417492425
2024-01-31,0.009,0.0,0.0131,-0.0029,5224899,3046094,2081286,4125925,-0.05130909300938569,-0.062276100575652915,-0.04862341509370649,-0.05735667275388168
2024-02-01,0.0066,0.019,0.0005,0.0038,4792751,2915972,2074729,4122074,-0.045047733023247716,-0.044459346486590445,-0.04814772680125334,-0.05377462811034639
2024-02-02,0.0012,-0.0025,-0.0106,-0.0028,4994774,3017599,2127766,3881685,-0.043901790302875554,-0.046848198120373885,-0.05823736089716014,-0.056424059151637396
2024-02-03,-0.0121,-0.005,-0.0123,0.0017,5136774,2969671,1978231,4219755,-0.055470578640210766,-0.051613957129772015,-0.06982104135812506,-0.05481998005219513
2024-02-04,-0.0088,-0.008,0.0,-0.0136,5206354,3122026,2130547,4004200,-0.06378243754817692,-0.05920104547273386,-0.06982104135812506,-0.06767442832348525
2024-02-05,0.0026,0.0104,-0.0073,0.0029,5170488,2953459,2032416,3973971,-0.061348271885802275,-0.04941673634565036,-0.0766113477562107,-0.06497068416562346
2024-02-06,0.0029,0.0072,-0.0055,-0.0076,5024248,3089273,1918177,4418477,-0.058626181874271155,-0.04257253684733897,-0.08168998534355154,-0.0720769069659648
2024-02-07,0.0059,0.0061,0.0055,0.0075,4748495,2817871,2115811,4158332,-0.053072076347329356,-0.036732229322107735,-0.07663928026294098,-0.06511748376820947
2024-02-08,-0.0077,-0.0037,-0.002,-0.0091,5156029,3094251,1998775,3820549,-0.06036342135945494,-0.04029632007361594,-0.07848600170241515,-0.0736249146659188
2024-02-09,0.0212,0.0173,0.0047,0.0178,5018951,2898425,2097511,3970588,-0.04044312589227528,-0.02369344641088944,-0.07415488591041652,-0.057135438146972084
2024-02-10,-0.011,-0.002,0.0028,-0.0091,4793625,2951792,2041293,3887255,-0.05099825150746029,-0.025646059518067643,-0.07156251959096582,-0.06571550565983464
2024-02-11,0.011,0.0101,0.0124,0.0229,4794444,3036553,2024496,3898611,-0.040559232274042456,-0.01580508471920017,-0.06004989483389378,-0.04432039073944494
2024-02-12,-0.0028,-0.0069,-0.0087,-0.0109,4882240,3034807,1855191,3718507,-0.04324566642367511,-0.022596029634637693,-0.0682274607488389,-0.054737298480385
2024-02-13,-0.0008,0.0016,0.0019,0.0063,4820388,2967982,2031090,4295071,-0.04401106989053616,-0.02103218328205303,-0.06645709292426172,-0.048782143460811445
